path,times_optimized,avg_percent_optimized,avg_optimized_throughput_kb/s
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_BRAZIL_SOUTH,269,12.309511936886071,66.61681215450722
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AWS_US_WEST_2_OREGON,267,18.87017012741839,120.41211145974444
AWS_US_WEST_1_CALIFORNIA -> GCP_US_SOUTH_1 -> AWS_EU_CENTRAL_1_FRANKFURT,267,22.44524984217019,146.25459424328596
AWS_US_WEST_2_OREGON -> GCP_US_CENTRAL_1 -> AZURE_US_EAST,265,16.590827711309956,200.88473305961224
GCP_US_SOUTH_1 -> GCP_US_CENTRAL_1 -> AZURE_SOUTH_AFRICA_NORTH,262,1.3782858125451658,6.571250270860901
AWS_US_WEST_2_OREGON -> AWS_EU_CENTRAL_1_FRANKFURT -> GCP_EUROPE_NORTH_1,261,25.842336134459465,147.44999012173525
AZURE_SOUTH_AFRICA_NORTH -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,258,2.030189393032425,8.712967104246673
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_US_EAST -> GCP_US_SOUTH_1,255,19.145476868881833,162.24524729886775
AZURE_FRANCE_CENTRAL -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,254,2.6755352867679343,23.901342050161816
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AWS_US_WEST_2_OREGON,250,12.96694707468166,87.86294821199135
AWS_US_WEST_2_OREGON -> AZURE_US_EAST -> AZURE_SOUTH_AFRICA_NORTH,249,27.659331211727345,87.45331628657709
AWS_US_WEST_1_CALIFORNIA -> AWS_US_WEST_2_OREGON -> GCP_AUSTRALIA_SOUTHEAST_1,244,16.17768443875209,90.11203903786168
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_US_EAST -> AWS_US_WEST_1_CALIFORNIA,241,17.521351738103174,114.06222297258034
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO,240,20.000597918628074,184.05681999266017
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_US_EAST -> AWS_US_WEST_1_CALIFORNIA,239,26.28250552511972,171.06345563366517
AWS_EU_NORTH_1_STOCKHOLM -> GCP_EUROPE_NORTH_1 -> AZURE_US_EAST,239,9.449726944450651,97.77902842973117
AWS_US_EAST_2_OHIO -> AZURE_FRANCE_CENTRAL -> AWS_EU_NORTH_1_STOCKHOLM,235,42.16397084838115,313.80288629201414
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_SOUTH_AFRICA_NORTH,233,29.369705029308648,95.76381002618831
AWS_EU_CENTRAL_1_FRANKFURT -> GCP_US_CENTRAL_1 -> GCP_US_SOUTH_1,231,19.901643857435992,166.735311252492
AWS_US_WEST_2_OREGON -> AWS_US_WEST_1_CALIFORNIA -> GCP_US_SOUTH_1,230,15.342324985495981,224.7309496112357
AWS_US_WEST_1_CALIFORNIA -> GCP_US_CENTRAL_1 -> AWS_SA_EAST_1_SAO_PAULO,228,18.491412886698818,108.48346574261359
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,225,17.494380667853456,103.86946648573621
AWS_US_WEST_1_CALIFORNIA -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,223,18.93307892630117,114.87905897016208
AWS_SA_EAST_1_SAO_PAULO -> AZURE_US_EAST -> AZURE_JAPAN_EAST,222,26.176476332003272,101.31640611655388
GCP_EUROPE_NORTH_1 -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,216,1.695309676423304,13.299123820357863
AWS_US_WEST_2_OREGON -> GCP_US_CENTRAL_1 -> GCP_EUROPE_NORTH_1,216,24.283874173734013,134.7138543910247
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO,215,17.46434187853332,91.92781365778421
